,Data,Casos
0,2020-01-22,555
1,2020-01-23,654
2,2020-01-24,941
3,2020-01-25,1434
4,2020-01-26,2118
5,2020-01-27,2927
6,2020-01-28,5578
7,2020-01-29,6166
8,2020-01-30,8234
9,2020-01-31,9927
10,2020-02-01,12038
11,2020-02-02,16787
12,2020-02-03,19881
13,2020-02-04,23892
14,2020-02-05,27635
15,2020-02-06,30794
16,2020-02-07,34391
17,2020-02-08,37120
18,2020-02-09,40150
19,2020-02-10,42762
20,2020-02-11,44802
21,2020-02-12,45221
22,2020-02-13,60368
23,2020-02-14,66885
24,2020-02-15,69030
25,2020-02-16,71224
26,2020-02-17,73258
27,2020-02-18,75136
28,2020-02-19,75639
29,2020-02-20,76197
30,2020-02-21,76819
31,2020-02-22,78572
32,2020-02-23,78958
33,2020-02-24,79561
34,2020-02-25,80406
35,2020-02-26,81388
36,2020-02-27,82746
37,2020-02-28,84112
38,2020-02-29,86011
39,2020-03-01,88369
40,2020-03-02,90306
41,2020-03-03,92840
42,2020-03-04,95120
43,2020-03-05,97886
44,2020-03-06,101801
45,2020-03-07,105847
46,2020-03-08,109821
47,2020-03-09,113590
48,2020-03-10,118620
49,2020-03-11,125875
50,2020-03-12,128352
51,2020-03-13,145205
52,2020-03-14,156101
53,2020-03-15,167454
54,2020-03-16,181574
55,2020-03-17,197102
56,2020-03-18,214821
57,2020-03-19,242570
58,2020-03-20,272208
59,2020-03-21,304507
60,2020-03-22,336953
61,2020-03-23,378235
62,2020-03-24,418045
63,2020-03-25,467653
64,2020-03-26,529591
65,2020-03-27,593291
66,2020-03-28,660693
67,2020-03-29,720140
68,2020-03-30,782389
69,2020-03-31,857487
70,2020-04-01,932605
71,2020-04-02,1013466
72,2020-04-03,1095917
73,2020-04-04,1197408
74,2020-04-05,1272115
75,2020-04-06,1345101
76,2020-04-07,1426096
77,2020-04-08,1511104
78,2020-04-09,1595350
79,2020-04-10,1691719
80,2020-04-11,1771514
81,2020-04-12,1846679
